,N1_Anxiety,N2_Anger,N3_Depression,N4_SelfConsciousness,N5_Immoderation,N6_Vulnerability,E1_Friendliness,E2_Gregariousness,E3_Assertiveness,E4_Activity_level,E5_Excitement_Seeking,E6_Cheerfulness,O1_Imagination,O2_Artistic_interests,O3_Emotionality,O4_Adventurousness,O5_Intellect,O6_Liberalism,A1_Trust,A2_Morality,A3_Altruism,A4_Cooperation,A5_Modesty,A6_Sympathy,C1_Self-Efficacy,C2_Orderliness,C3_Dutifulness,C4_Achievementstriving,C5_SelfDiscipline,C6_Cautiousness
N1_Anxiety,1,0.49565995,0.30501968,0.62682974,0.25463673,0.71075416,0.35064584,0.25557086,0.25628206,0.47538698,0.27677566,0.32650644,0.32933646,0.13703805,0.33708596,0.24887288,0.42408988,0.09447104,0.1940883,0.16513897,0.214878,0.2889312,0.22201781,0.21132773,0.41904873,0.46317005,0.122125514,0.18663935,0.3858009,0.44105405
N2_Anger,0.49565995,1,0.4510464,0.41519126,0.27417547,0.47450525,0.27181393,0.26965135,0.1887115,0.42019874,0.22013111,0.3320682,0.27113795,0.11561328,0.4560951,0.16887186,0.3094502,0.13504049,0.1204121,0.09572217,0.23445857,0.49659908,0.36023593,0.25974703,0.18768933,0.3568412,0.115064345,0.12647797,0.26568624,0.32081568
N3_Depression,0.30501968,0.4510464,1,0.45492017,0.4431038,0.36288506,0.34311467,0.28408182,0.21441968,0.29856354,0.24434584,0.3553969,0.3682796,0.13212709,0.4420391,0.3244313,0.29366565,0.12914301,0.29002053,0.121652104,0.31686676,0.23991993,0.48301935,0.35285485,0.18872473,0.34479028,0.14132184,0.26864192,0.25273213,0.27420962
N4_SelfConsciousness,0.62682974,0.41519126,0.45492017,1,0.28452212,0.5634955,0.52780455,0.43337172,0.34151292,0.39202428,0.17895643,0.30298787,0.26034164,0.14550994,0.3180887,0.20551555,0.39492434,0.16117448,0.25874594,0.20519555,0.3413916,0.36702877,0.4894622,0.33337587,0.2759459,0.3258788,0.09227339,0.22455305,0.2882071,0.2719759
N5_Immoderation,0.25463673,0.27417547,0.4431038,0.28452212,1,0.2721424,0.21532395,0.2560668,0.21356782,0.23815468,0.21924283,0.17849293,0.33477032,0.14440745,0.319318,0.28829956,0.2346134,0.14390363,0.18458986,0.2708897,0.14657263,0.20438707,0.3308793,0.24539489,0.19695996,0.3222503,0.25538146,0.31498706,0.2758354,0.35393083
N6_Vulnerability,0.71075416,0.47450525,0.36288506,0.5634955,0.2721424,1,0.27221665,0.2581075,0.22249995,0.45307362,0.14728707,0.2369878,0.34115297,0.11193564,0.5397984,0.081517555,0.401059,0.09927093,0.07843255,0.12564117,0.18371376,0.28948832,0.27074072,0.23134047,0.43520552,0.3506921,0.13729684,0.25282943,0.39783973,0.36142582
E1_Friendliness,0.35064584,0.27181393,0.34311467,0.52780455,0.21532395,0.27221665,1,0.53727674,0.4378298,0.30455354,0.1946773,0.30119035,0.20383894,0.27295336,0.28423095,0.25639755,0.27376062,0.09995114,0.4176875,0.25761905,0.6550499,0.36352363,0.34215784,0.39591777,0.09549612,0.13629241,0.054983296,0.11223934,0.15676811,0.2306873
E2_Gregariousness,0.25557086,0.26965135,0.28408182,0.43337172,0.2560668,0.2581075,0.53727674,1,0.4240738,0.25690603,0.44454813,0.29329348,0.25413573,0.2933944,0.3076265,0.26009497,0.23482753,0.14635608,0.20716046,0.20083255,0.39338845,0.27689397,0.37799042,0.2822055,0.10679779,0.34554002,0.14577727,0.18309522,0.16655505,0.19935128
E3_Assertiveness,0.25628206,0.1887115,0.21441968,0.34151292,0.21356782,0.22249995,0.4378298,0.4240738,1,0.3355155,0.25238878,0.20434193,0.22090107,0.28692007,0.17386395,0.25126612,0.19567761,0.17441167,0.34181333,0.3876484,0.5530907,0.35893968,0.3917719,0.29381168,0.32114992,0.25165713,0.41277766,0.35055798,0.33074036,0.39882916
E4_Activity_level,0.47538698,0.42019874,0.29856354,0.39202428,0.23815468,0.45307362,0.30455354,0.25690603,0.3355155,1,0.22611354,0.33776957,0.35242057,0.12737173,0.27470955,0.3010223,0.3393463,0.057808764,0.10917927,0.16860889,0.20016402,0.2713733,0.20833242,0.11391553,0.38162178,0.34980875,0.17598641,0.29250097,0.42844713,0.40312976
E5_Excitement_Seeking,0.27677566,0.22013111,0.24434584,0.17895643,0.21924283,0.14728707,0.1946773,0.44454813,0.25238878,0.22611354,1,0.35781395,0.34637675,0.3335313,0.1990534,0.32560647,0.19984265,0.15968433,0.16381833,0.15875414,0.19328311,0.2183875,0.2356155,0.13725792,0.10540767,0.20952156,0.17855749,0.23654911,0.15049979,0.40227053
E6_Cheerfulness,0.32650644,0.3320682,0.3553969,0.30298787,0.17849293,0.2369878,0.30119035,0.29329348,0.20434193,0.33776957,0.35781395,1,0.31409627,0.30938214,0.3166203,0.13342983,0.2872612,0.003424254,0.13741454,0.10682916,0.23098464,0.25787646,0.258667,0.20302558,0.17360544,0.17611578,0.09337537,0.12770206,0.10126911,0.25879872
O1_Imagination,0.32933646,0.27113795,0.3682796,0.26034164,0.33477032,0.34115297,0.20383894,0.25413573,0.22090107,0.35242057,0.34637675,0.31409627,1,0.32732874,0.31265813,0.1692395,0.37972853,0.11107463,0.13833477,0.16880581,0.115816996,0.13488856,0.23434334,0.14330298,0.21008128,0.30640525,0.07561824,0.26180503,0.21589279,0.4005529
O2_Artistic_interests,0.13703805,0.11561328,0.13212709,0.14550994,0.14440745,0.11193564,0.27295336,0.2933944,0.28692007,0.12737173,0.3335313,0.30938214,0.32732874,1,0.24728987,0.20416455,0.26171035,0.13549335,0.1396875,0.040504813,0.3209883,0.09426887,0.25241977,0.23388624,0.07976883,0.13381839,0.10983142,0.1927315,0.07425492,0.13392375
O3_Emotionality,0.33708596,0.4560951,0.4420391,0.3180887,0.319318,0.5397984,0.28423095,0.3076265,0.17386395,0.27470955,0.1990534,0.3166203,0.31265813,0.24728987,1,0.06229846,0.33784914,0.14260826,0.23001081,0.10981636,0.27923018,0.3206242,0.36890876,0.3172217,0.19085014,0.19393148,0.13183923,0.23397803,0.19538277,0.26426974
O4_Adventurousness,0.24887288,0.16887186,0.3244313,0.20551555,0.28829956,0.081517555,0.25639755,0.26009497,0.25126612,0.3010223,0.32560647,0.13342983,0.1692395,0.20416455,0.06229846,1,0.26644257,0.04112055,0.12173612,0.12475992,0.25464988,0.1811312,0.21113212,0.113635466,0.14718547,0.34111223,0.21538192,0.17626175,0.21814711,0.32200688
O5_Intellect,0.42408988,0.3094502,0.29366565,0.39492434,0.2346134,0.401059,0.27376062,0.23482753,0.19567761,0.3393463,0.19984265,0.2872612,0.37972853,0.26171035,0.33784914,0.26644257,1,0.12192595,0.10854381,0.11378411,0.14793248,0.3073539,0.26897588,0.25221366,0.29456586,0.19567686,0.15103899,0.25031495,0.34033272,0.28757554
O6_Liberalism,0.09447104,0.13504049,0.12914301,0.16117448,0.14390363,0.09927093,0.09995114,0.14635608,0.17441167,0.057808764,0.15968433,0.003424254,0.11107463,0.13549335,0.14260826,0.04112055,0.12192595,1,0.3490107,0.26203877,0.18312758,0.1790295,0.23450375,0.36932606,0.07683331,0.15026632,0.27222657,0.18813467,0.1210399,0.2065942
A1_Trust,0.1940883,0.1204121,0.29002053,0.25874594,0.18458986,0.07843255,0.4176875,0.20716046,0.34181333,0.10917927,0.16381833,0.13741454,0.13833477,0.1396875,0.23001081,0.12173612,0.10854381,0.3490107,1,0.45263535,0.5024082,0.32738358,0.34555972,0.48812446,0.1844814,0.15096307,0.25150052,0.1340729,0.06650574,0.2791147
A2_Morality,0.16513897,0.09572217,0.121652104,0.20519555,0.2708897,0.12564117,0.25761905,0.20083255,0.3876484,0.16860889,0.15875414,0.10682916,0.16880581,0.040504813,0.10981636,0.12475992,0.11378411,0.26203877,0.45263535,1,0.38945043,0.2892326,0.26909402,0.38851556,0.32851186,0.22611448,0.5156784,0.36186224,0.25357312,0.31732517
A3_Altruism,0.214878,0.23445857,0.31686676,0.3413916,0.14657263,0.18371376,0.6550499,0.39338845,0.5530907,0.20016402,0.19328311,0.23098464,0.115816996,0.3209883,0.27923018,0.25464988,0.14793248,0.18312758,0.5024082,0.38945043,1,0.42262644,0.37667683,0.60450983,0.13984428,0.18350849,0.22036809,0.20881629,0.13688232,0.20602849
A4_Cooperation,0.2889312,0.49659908,0.23991993,0.36702877,0.20438707,0.28948832,0.36352363,0.27689397,0.35893968,0.2713733,0.2183875,0.25787646,0.13488856,0.09426887,0.3206242,0.1811312,0.3073539,0.1790295,0.32738358,0.2892326,0.42262644,1,0.35406217,0.41368932,0.17429124,0.23572278,0.21734324,0.14974742,0.20468993,0.24164402
A5_Modesty,0.22201781,0.36023593,0.48301935,0.4894622,0.3308793,0.27074072,0.34215784,0.37799042,0.3917719,0.20833242,0.2356155,0.258667,0.23434334,0.25241977,0.36890876,0.21113212,0.26897588,0.23450375,0.34555972,0.26909402,0.37667683,0.35406217,1,0.3479535,0.22332907,0.2389434,0.26777393,0.3430246,0.16879654,0.22522032
A6_Sympathy,0.21132773,0.25974703,0.35285485,0.33337587,0.24539489,0.23134047,0.39591777,0.2822055,0.29381168,0.11391553,0.13725792,0.20302558,0.14330298,0.23388624,0.3172217,0.113635466,0.25221366,0.36932606,0.48812446,0.38851556,0.60450983,0.41368932,0.3479535,1,0.17145021,0.23478869,0.16810039,0.28024012,0.13153693,0.15091586
C1_Self-Efficacy,0.41904873,0.18768933,0.18872473,0.2759459,0.19695996,0.43520552,0.09549612,0.10679779,0.32114992,0.38162178,0.10540767,0.17360544,0.21008128,0.07976883,0.19085014,0.14718547,0.29456586,0.07683331,0.1844814,0.32851186,0.13984428,0.17429124,0.22332907,0.17145021,1,0.3766206,0.3623726,0.5144913,0.56296766,0.41693074
C2_Orderliness,0.46317005,0.3568412,0.34479028,0.3258788,0.3222503,0.3506921,0.13629241,0.34554002,0.25165713,0.34980875,0.20952156,0.17611578,0.30640525,0.13381839,0.19393148,0.34111223,0.19567686,0.15026632,0.15096307,0.22611448,0.18350849,0.23572278,0.2389434,0.23478869,0.3766206,1,0.2794745,0.3331155,0.406628,0.35981655
C3_Dutifulness,0.122125514,0.115064345,0.14132184,0.09227339,0.25538146,0.13729684,0.054983296,0.14577727,0.41277766,0.17598641,0.17855749,0.09337537,0.07561824,0.10983142,0.13183923,0.21538192,0.15103899,0.27222657,0.25150052,0.5156784,0.22036809,0.21734324,0.26777393,0.16810039,0.3623726,0.2794745,1,0.3444112,0.32076454,0.3575858
C4_Achievementstriving,0.18663935,0.12647797,0.26864192,0.22455305,0.31498706,0.25282943,0.11223934,0.18309522,0.35055798,0.29250097,0.23654911,0.12770206,0.26180503,0.1927315,0.23397803,0.17626175,0.25031495,0.18813467,0.1340729,0.36186224,0.20881629,0.14974742,0.3430246,0.28024012,0.5144913,0.3331155,0.3444112,1,0.5349426,0.34849656
C5_SelfDiscipline,0.3858009,0.26568624,0.25273213,0.2882071,0.2758354,0.39783973,0.15676811,0.16655505,0.33074036,0.42844713,0.15049979,0.10126911,0.21589279,0.07425492,0.19538277,0.21814711,0.34033272,0.1210399,0.06650574,0.25357312,0.13688232,0.20468993,0.16879654,0.13153693,0.56296766,0.406628,0.32076454,0.5349426,1,0.42544007
C6_Cautiousness,0.44105405,0.32081568,0.27420962,0.2719759,0.35393083,0.36142582,0.2306873,0.19935128,0.39882916,0.40312976,0.40227053,0.25879872,0.4005529,0.13392375,0.26426974,0.32200688,0.28757554,0.2065942,0.2791147,0.31732517,0.20602849,0.24164402,0.22522032,0.15091586,0.41693074,0.35981655,0.3575858,0.34849656,0.42544007,1