"","C_emp","O_emp","E_emp","H_empX_empA_emp","MR5_emp","MR4_emp","H_distilrobertaX_distilrobertaO_distilroberta","E_distilroberta","A_distilroberta","MR4_item_distilroberta","MR3_item_distilroberta","C_distilroberta","H_miniLME_miniLMX_miniLMA_miniLMC_miniLMO_miniLM","MR2_item_miniLM","MR4_item_miniLM","MR3_item_miniLM","MR5_item_miniLM","MR6_item_miniLM","H_mpnetE_mpnetO_mpnet","A_mpnet","X_mpnet","C_mpnet","MR3_item_mpnet","MR5_item_mpnet","H_t5E_t5X_t5A_t5C_t5O_t5","MR6_item_t5","MR3_item_t5","MR4_item_t5","MR5_item_t5","MR2_item_t5","H_psychX_psychO_psych","E_psychA_psych","C_psych","MR5_item_psych","MR3_item_psych","MR6_item_psych","E_use_danA_use_danC_use_dan","O_use_dan","MR2_item_use_dan","X_use_dan","MR4_item_use_dan","H_use_dan","H_avg_transX_avg_transC_avg_transO_avg_trans","E_avg_transA_avg_trans","MR4_item_avg_trans","MR3_item_avg_trans","MR5_item_avg_trans","MR6_item_avg_trans"
"Sinc",-0.216,0.119,-0.012,-0.014,-0.051,0.639,-0.339,-0.55,0.096,-0.068,-0.06,0.031,-0.994,-0.127,-0.057,0.022,0.022,0.015,-0.7,0.06,0.11,0.055,-0.046,-0.055,-0.962,-0.075,-0.013,0.03,-0.006,-0.174,-0.812,0.294,0.184,0.041,-0.12,-0.051,0.475,-0.04,-0.152,-0.171,-0.069,0.231,-0.607,0.374,0.015,-0.083,0.018,-0.089
"Fair",0.031,0.389,-0.118,0.278,0.011,-0.104,0.198,0.059,-0.047,0.261,0.13,0.021,0.893,0.208,-0.088,-0.013,0.037,0.029,0.033,-0.207,-0.057,0.111,-0.119,0.207,0.847,-0.075,0.26,0.037,0.165,0.044,0.128,-0.102,0.06,0.014,0.31,-0.012,-0.097,-0.088,0.04,0.159,0.528,0.032,0.206,-0.384,0.029,0.318,0.037,-0.019
"Gree",-0.211,-0.091,0.067,0.55,-0.039,0.054,0.528,0.204,-0.014,-0.068,-0.089,0.219,0.97,-0.124,0.061,-0.008,0.02,0.022,0.615,-0.052,-0.013,0.217,0.169,0.087,0.926,0.145,-0.025,-0.027,0.081,0.137,0.7,-0.319,0.009,0.126,0.137,-0.034,-0.195,0.409,0.231,-0.075,-0.004,-0.337,0.619,-0.346,0.172,-0.004,-0.047,0.098
"Mode",0.163,-0.022,0.011,0,0.606,0.026,-0.058,-0.096,-0.233,0.47,-0.381,0.001,0.014,0.095,-0.099,1.039,-0.042,-0.037,0.045,-0.103,-0.034,-0.163,-0.576,-0.005,-0.071,0.033,0.037,0.048,0.053,-0.594,-0.433,-0.076,-0.357,0.051,0.41,0.087,-0.136,-0.041,-0.048,0.124,-0.017,0.348,-0.088,-0.038,0.021,-0.115,-0.085,-0.578
"Fear",0.139,0.046,0.694,0.077,-0.126,-0.192,0.359,-0.035,0.41,0.057,0.03,0.077,0.044,0.163,0.97,-0.078,0.078,-0.047,0.255,0.082,0.401,0.102,0.254,0.159,0.008,0.529,0.102,-0.036,0.008,0.372,0.722,0.347,0.049,0.136,-0.156,-0.031,0.024,0.063,0.474,-0.026,0.082,-0.045,0.593,0.429,0.308,-0.064,-0.077,0.141
"Anxi",0.548,0.032,0.083,0.24,-0.112,-0.121,-0.035,0.426,-0.262,-0.411,-0.036,0.176,0.936,-0.016,0.057,-0.034,-0.095,0.04,0.296,0.009,-0.281,0.153,0.186,-0.594,0.502,0.011,-0.646,-0.022,0.148,-0.055,-0.086,-0.889,0.068,0.173,-0.069,0.012,-0.669,-0.069,0.102,-0.214,-0.236,0.236,0.112,-0.681,0.013,-0.375,0.127,-0.042
"Depe",-0.064,0.061,0.305,0.181,0.072,-0.042,-0.014,0.84,-0.054,-0.039,-0.153,0.118,0.988,-0.066,0.044,0.007,0.01,-0.057,0.819,0.086,-0.262,-0.044,-0.046,-0.089,0.952,0.037,-0.021,-0.02,0.003,0.012,0.354,-0.632,-0.022,-0.266,-0.007,0.248,-0.734,-0.048,0.011,-0.039,-0.028,-0.237,0.419,-0.557,0,0.006,-0.074,0.026
"Sent",-0.195,0.771,0.125,-0.223,0.001,-0.045,-0.233,0.947,-0.058,0.081,0.028,0.011,0.98,0.044,-0.067,0.008,0.047,-0.032,0.809,0.107,-0.118,-0.072,-0.157,-0.067,0.934,-0.017,0.054,0.091,-0.006,-0.005,0.002,-0.71,0.045,0.047,0.012,0.514,-0.654,-0.121,-0.24,0.314,0.156,-0.048,0.344,-0.567,-0.097,0.046,0.143,-0.036
"Expr",0.169,-0.087,0.665,-0.183,0.135,-0.03,0.209,0.003,-0.092,0.016,0.74,-0.167,0.002,0.404,-0.224,-0.06,0.069,0.293,-0.031,-0.114,0.369,0.096,0.099,-0.192,0.112,-0.056,-0.015,1.092,-0.044,-0.117,0.106,-0.161,0.202,0.757,0.004,-0.055,0.038,0.115,-0.06,0.704,-0.065,0.273,0.111,-0.035,-0.131,-0.031,0.68,0.085
"SocB",0.077,0.295,0.105,0.169,0.269,-0.085,-0.035,-0.001,0.726,-0.119,0.158,-0.016,-0.94,0.113,0.126,-0.018,-0.015,0.01,-0.147,0.089,0.55,0.155,0.139,0.151,-0.698,0.28,0.006,0.162,0.062,0.142,0.231,0.479,0.023,0.51,0.039,0.137,0.408,-0.02,0.111,0.418,-0.242,0.173,0.156,0.691,0.126,-0.085,0.261,0.038
"Soci",0.235,-0.058,0.091,0.33,-0.108,0.033,0.578,0.026,0.164,0.004,0.137,-0.049,0.855,-0.138,0.097,0.051,0.057,0.179,0.457,-0.017,0.625,0.02,-0.14,-0.1,0.497,0.756,-0.143,-0.008,0.079,-0.113,0.744,0.298,-0.117,0.218,0.017,0.109,0.04,0.483,0.165,0.035,-0.156,-0.006,0.887,0.173,0.156,-0.182,0.109,-0.155
"Live",0.072,0.097,-0.118,0.581,-0.018,-0.109,0.686,-0.043,-0.106,0.048,0.195,-0.001,0.977,-0.043,-0.009,0,0.01,0.052,0.639,-0.005,0.233,-0.08,-0.134,-0.118,0.879,0.282,0.086,0.165,-0.048,-0.055,0.729,0.049,-0.021,0.159,0.151,-0.007,-0.31,0.186,0.239,0.05,0.089,-0.123,0.703,-0.166,0.018,0.014,0.138,-0.016
"Forg",0.107,-0.126,-0.001,0.291,0.073,0.006,-0.014,0.214,0.204,0.183,-0.062,-0.074,-0.006,0.013,0.015,-0.033,0.793,-0.015,-0.046,0.048,0.214,-0.002,-0.093,0.02,-0.018,0.184,0.339,-0.051,0.037,-0.111,-0.063,0.069,0.014,-0.04,-0.048,0.523,0.06,0.115,-0.07,-0.023,0.1,0.119,0.131,0.128,-0.059,0.171,0.106,-0.062
"Gent",-0.048,0.153,0.56,-0.096,-0.016,0.128,-0.02,-0.405,0.529,0.115,-0.041,-0.129,-0.989,-0.008,0.013,0,-0.01,0.097,-0.179,0.505,0.169,0.122,-0.085,0.116,-0.816,0.093,0.239,-0.053,0.077,0.008,0.005,0.868,0.026,-0.053,0.047,0.193,0.71,-0.111,0.198,0.042,0.098,-0.123,-0.075,0.775,0.08,0.161,-0.052,-0.028
"Flex",-0.04,0.123,-0.095,0.499,0.055,0.012,-0.017,-0.248,0.893,-0.109,-0.215,-0.074,-0.963,0.061,0.005,-0.041,-0.107,0.087,0.152,1.002,-0.051,0.002,0.144,0.134,-0.893,0.21,0.073,-0.061,-0.036,0.063,0.077,0.79,-0.067,0.117,0.064,0.223,0.722,-0.126,0.036,0.155,-0.15,-0.278,0.051,0.858,0.032,0.069,-0.044,0.014
"Pati",0.551,-0.073,0.185,-0.06,0.182,-0.014,-0.074,0.066,-0.095,0.607,0.12,0.01,-0.027,0.857,-0.05,-0.046,-0.13,-0.064,0.007,0.14,-0.087,-0.114,0.042,0.612,0.172,-0.187,0.783,0.047,0.021,0.086,0.104,0.605,0.149,-0.474,0.115,0.29,0.2,0.005,-0.067,0.5,0.314,-0.014,-0.055,0.119,-0.128,0.81,-0.078,0.173
"Orga",0.137,-0.033,-0.104,0.022,0.101,0.48,0.113,-0.058,0.125,0.187,0.128,0.459,-0.04,-0.031,0.715,0.005,-0.097,0.44,0.186,0.111,0.108,0.621,0.014,0.048,0.033,0.114,-0.069,0.004,0.569,0.313,0.325,0.365,0.291,0.055,0.304,-0.159,0.264,0.122,0.767,-0.081,0.178,0.2,0.242,0.07,0.797,-0.111,-0.121,-0.106
"Dili",0.151,0.108,0.111,0.204,-0.092,0.158,-0.191,-0.112,-0.045,0.034,0.603,0.151,-0.885,-0.119,0.041,0.111,0.132,0.066,-0.241,-0.1,0.163,0.547,-0.009,-0.253,-0.653,0.099,-0.046,0.197,0.074,0.077,-0.405,-0.009,0.883,0.285,-0.15,0.108,0.034,-0.107,0.252,0.091,0.034,0.542,-0.411,0.026,0.306,-0.043,0.393,0.145
"Perf",0.807,0.066,-0.011,-0.249,0.266,-0.092,0.15,0.218,-0.221,-0.002,-0.095,0.787,0.967,-0.115,0.077,0.018,-0.015,0.01,0.39,-0.236,-0.118,0.42,-0.031,-0.049,0.928,0.038,-0.014,0.045,0.144,0.091,0.245,-0.426,0.563,-0.022,0.149,-0.046,-0.397,0.203,0.28,-0.027,0.115,0.178,0.265,-0.668,0.438,0.003,-0.018,0.024
"Prud",0.099,0.377,0.062,0.073,-0.096,0.131,-0.342,-0.237,0.272,0.207,0.157,0.246,-0.986,-0.041,-0.005,-0.058,-0.004,0.121,-0.25,0.304,-0.045,0.482,-0.065,0.221,-0.782,-0.189,0.157,0.023,0.206,0.179,-0.333,0.552,0.583,-0.126,0.123,-0.05,0.814,0.009,0.137,0.002,0.052,-0.048,-0.476,0.309,0.383,0.242,-0.035,0.101
"AesA",0.316,0.568,-0.005,-0.203,-0.095,0.173,0.305,0.205,0.347,-0.022,-0.078,0.089,0.871,0.175,-0.069,-0.024,-0.033,0.131,0.654,0.251,0.205,0.121,-0.097,-0.132,0.574,0.518,0.079,-0.013,-0.009,-0.008,0.396,0.125,0.072,0.126,-0.05,0.409,-0.15,0.125,0.027,0.268,0.064,0.016,0.633,-0.029,0.013,0.105,0.144,0.007
"Inqu",-0.021,0.38,0.033,0.05,0.294,0.035,0.984,-0.209,-0.248,0.055,-0.17,-0.054,0.983,-0.028,0.025,0.042,0.021,-0.015,0.512,-0.224,0.267,-0.232,0.028,0.165,0.949,0.181,0.102,-0.034,-0.021,-0.002,0.97,-0.051,-0.29,-0.212,-0.088,-0.113,-0.165,0.671,-0.084,0.075,0.032,-0.129,0.761,-0.121,-0.059,0.048,-0.17,0.051
"Crea",0.024,0.306,-0.026,0.169,0.064,0.069,0.871,-0.237,0.105,-0.227,-0.083,0.131,0.974,-0.063,0.033,-0.007,-0.034,0.07,0.395,-0.079,0.193,-0.048,0.354,0.18,0.819,0.347,0.066,0.032,-0.141,0.138,0.942,0.098,-0.085,-0.016,-0.114,-0.092,-0.101,0.631,0.071,0.196,-0.236,-0.098,0.799,-0.017,0.046,-0.002,-0.08,0.184
"Unco",0,-0.134,0.034,0.223,0.149,0.216,-0.015,0.125,-0.041,-0.603,0.236,-0.146,0.01,-0.759,-0.199,-0.104,-0.07,-0.099,-0.133,0.027,-0.075,-0.167,0.699,-0.116,-0.007,-0.002,-0.192,0.04,-0.64,0.271,0.133,-0.355,0.184,0.014,-0.91,0.089,-0.035,0.163,-0.201,0.064,-0.612,-0.002,0.042,-0.009,-0.235,-0.339,0.049,0.472
