"","C_emp","E_emp","X_emp","A_emp","O_emp","H_emp","E_distilrobertaA_distilroberta","O_distilroberta","H_distilroberta","X_distilroberta","C_distilroberta","ML2_sent_distilroberta","C_miniLM","O_miniLM","X_miniLM","H_miniLM","A_miniLM","E_miniLM","C_mpnet","X_mpnet","A_mpnet","H_mpnet","O_mpnet","E_mpnet","A_t5","O_t5","C_t5","H_t5","E_t5X_t5","ML2_sent_t5","A_psych","H_psych","C_psych","O_psych","X_psych","E_psych","A_use_dan","C_use_dan","H_use_dan","X_use_danO_use_dan","E_use_dan","ML3_sent_use_dan","X_avg_trans","C_avg_trans","A_avg_trans","H_avg_trans","O_avg_trans","E_avg_trans"
"Sinc",0.377,-0.205,-0.371,0.179,0.222,0.61,0.119,-0.072,0.655,0.361,-0.006,-0.006,0.211,-0.017,-0.069,0.623,0.258,-0.003,0.174,0.322,0.239,0.524,-0.091,-0.222,0.172,-0.047,0.065,0.66,0.16,0.012,-0.077,0.571,0.112,0.189,0.536,-0.006,0.079,0.175,0.822,-0.143,-0.019,-0.031,0.427,0.137,0.094,0.547,-0.005,-0.225
"Fair",0.092,0.193,0.255,-0.139,0.292,0.151,0.046,0.029,0.485,-0.287,0.546,0.175,0.244,-0.119,-0.069,0.544,0.036,0.371,0.291,-0.331,0.161,0.628,0.006,0.111,0.138,0.14,0.383,0.368,-0.053,-0.053,0.039,0.53,0.255,-0.168,-0.155,0.423,0.25,0.308,0.346,-0.23,-0.113,0.253,-0.343,0.407,0.074,0.63,0.035,0.128
"Gree",-0.044,0.076,0.331,0.124,-0.01,0.389,-0.327,0.215,0.81,0.171,0.224,-0.389,-0.04,0.44,0.377,0.207,-0.055,0.066,0.157,0.258,-0.137,0.269,0.471,-0.049,-0.241,0.111,0.244,0.682,0.076,0.162,-0.301,0.975,0.085,0.034,-0.152,0.25,-0.317,0.266,0.551,0.308,-0.032,0.531,-0.112,0.087,0.02,0.479,0.363,0.137
"Mode",0.11,-0.218,0.273,0.48,0.446,0.32,-0.01,-0.011,0.731,0.323,0.055,-0.203,-0.109,0.181,0.033,0.458,0.418,0.022,-0.042,0.117,0.1,0.532,0.378,-0.08,-0.238,0.105,0.118,0.562,0.429,0.113,0.038,0.847,0.046,-0.011,0.452,-0.109,0.09,0.041,0.427,0.393,-0.194,0.321,0.248,0.033,0.088,0.514,0.177,-0.081
"Fear",-0.1,0.762,0.409,0.334,-0.101,-0.217,-0.051,0.353,0.109,0.084,-0.02,0.405,0.088,0.108,0.299,0.328,-0.219,0.391,0.226,0.115,-0.022,0.096,0.192,0.327,-0.066,0.344,0.125,0.217,0.282,0.135,0.034,0.481,-0.015,0.215,-0.087,0.53,0.222,-0.072,-0.075,0.271,0.138,0.165,0.03,-0.052,-0.063,0.269,0.285,0.539
"Anxi",0.383,0.237,0.353,0.122,-0.024,-0.117,0.229,0.164,-0.273,0.278,0.399,0.41,0.291,0.256,-0.222,-0.131,0.362,0.453,0.147,0.098,0.291,-0.292,0.1,0.731,0.193,0.327,0.334,-0.193,0.192,0.2,0.512,0.047,0.19,0.066,-0.204,0.401,0.205,0.292,-0.4,0.331,0.441,0.019,0.035,0.162,0.349,-0.306,0.065,0.765
"Depe",-0.071,0.306,0.291,0.236,0.102,0.131,0.583,-0.071,0.305,0.125,-0.078,0.15,0.036,0.124,0.35,0.261,0.295,-0.059,-0.313,0.067,0.329,0.084,0.271,0.437,0.313,-0.265,-0.112,0.413,0.464,0.342,0.461,0.225,-0.267,0.385,0.091,0.463,0.217,0.012,0.318,0.018,0.263,0.198,0.178,-0.223,0.476,0.218,0.062,0.272
"Sent",-0.06,0.46,-0.075,-0.201,0.493,0.009,0.556,0.401,-0.26,0.135,-0.019,0.28,-0.149,0.255,0.013,-0.003,0.33,0.565,-0.242,0.132,0.517,-0.062,0.2,0.619,0.435,0.239,-0.189,-0.121,0.362,0.462,0.529,-0.061,-0.062,0.45,0.1,0.476,0.256,-0.113,-0.217,0.062,0.785,0.324,0.137,-0.184,0.456,-0.151,0.303,0.542
"Expr",0.008,0.416,0.195,0.544,0.035,-0.121,0.158,0.199,0.041,0.603,-0.089,0.196,-0.004,-0.064,0.601,0.058,0.284,0.129,-0.046,0.65,0.046,0.166,0.18,0.022,0.087,0.067,-0.125,0.086,0.732,0.371,0.049,0.157,0.081,0.357,0.632,0.025,0.198,0.015,0.189,0.255,0.169,0.182,0.771,-0.077,0.048,0.005,0.154,0.096
"SocB",0.054,0.229,0.369,0.203,0.393,0.215,0.14,0.251,0.178,0.596,-0.21,0.218,0.04,0.131,0.498,0.199,0.094,0.045,-0.017,0.618,0.059,0.216,0.127,-0.067,-0.063,0.114,-0.099,0.363,0.612,0.218,0.148,0.428,0.162,0.183,0.47,-0.115,0.307,-0.079,0.157,0.465,0.051,0.2,0.642,-0.151,0.066,0.182,0.164,0.132
"Soci",0.237,0.155,0.29,0.154,-0.053,0.113,0.238,0.229,0.191,0.377,-0.081,0.124,-0.015,0.06,0.374,0.22,0.179,0.189,-0.056,0.275,0.257,0.207,0.245,0.144,0.243,0.179,-0.125,0.232,0.319,0.29,0.011,0.115,0.254,0.508,0.273,0.118,0.018,0.016,0.41,0.248,0.127,0.412,0.429,-0.002,0.179,0.137,0.245,0.04
"Live",0.107,0.102,0.445,-0.011,0.112,0.265,-0.08,-0.051,0.22,0.523,0.117,0.055,0.097,-0.08,0.874,-0.208,0.233,0.073,0.09,0.561,0.101,-0.216,0.046,0.265,-0.083,-0.107,0.255,0.04,0.687,0.42,-0.152,-0.022,0.405,0.322,0.427,-0.125,0.002,0.037,0.181,0.243,0.308,0.23,0.6,0.207,-0.07,-0.093,0.15,0.072
"Forg",0.078,-0.004,0.286,0.161,-0.006,0.162,0.845,-0.003,0.12,-0.207,0.132,0.3,-0.198,-0.065,0.262,0.378,0.509,0.129,0.014,-0.201,0.686,0.409,-0.154,0.3,0.719,-0.075,0.15,0.155,-0.091,0.137,0.627,-0.01,0.142,-0.032,-0.006,0.488,0.966,-0.128,0.195,-0.408,-0.09,0.372,-0.157,0.146,0.634,0.345,-0.131,0.169
"Gent",0.077,0.42,0.042,0.354,0.148,0.082,0.695,-0.089,0.06,0.215,0.024,0.327,0.07,0.143,0.017,0.335,0.354,0.094,0.12,0.301,0.689,0.169,-0.308,0.054,0.861,0.014,0.035,-0.027,0.001,0.185,0.749,0.051,0.158,-0.206,0.077,0.349,0.634,0.019,0.089,-0.004,0.182,0.069,0.094,0.088,0.681,0.17,-0.241,0.247
"Flex",0.123,0.024,0.335,0.05,0.204,0.379,0.637,-0.02,0.087,0.195,-0.039,0.398,0.076,0.06,0.162,0.2,0.367,0.147,0.098,0.352,0.664,0.053,-0.291,0.173,0.816,0,0.029,0.134,-0.061,0.104,0.654,0.052,0.189,-0.039,0.03,0.348,0.616,-0.026,0.034,0.108,0.318,0.009,0.158,0.062,0.631,0.162,-0.214,0.257
"Pati",0.397,0.064,0.211,0.388,0.1,-0.086,0.543,-0.042,-0.223,0.363,0.29,0.318,-0.006,-0.169,0.355,-0.254,0.674,0.401,0.163,0.016,0.505,-0.262,0.035,0.575,0.801,-0.067,0.183,-0.397,0.237,0.405,0.752,-0.227,0.231,0.175,-0.016,0.329,0.638,0.099,-0.281,-0.104,0.464,-0.001,0.161,0.184,0.646,-0.356,-0.107,0.532
"Orga",0.385,-0.217,-0.065,0.254,0.17,0.418,0.183,-0.178,0.064,0.009,0.793,-0.074,0.853,-0.148,0.281,0.015,-0.141,0.128,0.698,-0.025,-0.054,0.13,0.24,-0.063,0.007,-0.101,0.976,0.104,-0.095,0.034,0.118,0.039,0.811,0.007,0.193,-0.152,-0.134,1.054,0.096,-0.132,-0.131,-0.256,-0.007,0.848,0.152,0.009,0.027,-0.141
"Dili",0.286,0.161,0.149,0.141,0.104,0.197,0.063,-0.203,0.244,0.074,0.704,-0.05,0.884,-0.151,0.15,0.013,0.02,0.072,0.674,0.236,0.217,-0.026,-0.188,-0.172,-0.101,-0.202,0.763,0.267,0.186,0.117,0.193,0.145,0.978,-0.139,0.059,-0.277,-0.157,0.522,0.24,0.213,-0.026,0.012,0.076,0.782,0.195,0.085,-0.106,-0.121
"Perf",0.591,-0.085,0.107,0.279,0.247,-0.259,0.066,0.077,0.202,-0.129,0.7,-0.128,0.931,0.243,-0.013,0.047,-0.075,-0.146,1.025,-0.325,0.233,0.075,0.169,-0.282,0.199,-0.02,0.799,0.21,-0.279,-0.001,-0.012,-0.12,0.603,0.134,0.498,-0.185,0.003,0.471,0.178,0.02,0.114,0.1,-0.025,0.938,0.048,0.105,0.146,-0.39
"Prud",0.265,0.261,0.062,-0.01,0.246,0.145,-0.05,0.193,0.307,-0.355,0.597,0.46,0.667,0.084,-0.304,0.223,0.126,0.205,0.528,0.023,-0.061,0.359,-0.053,0.225,0.209,0.186,0.508,0.184,-0.076,-0.091,0.23,0.308,0.497,-0.142,-0.09,0.226,0.146,0.484,0.198,0.025,0.059,-0.152,-0.134,0.482,-0.002,0.42,-0.009,0.241
"AesA",0.436,0.276,-0.084,-0.067,0.349,0.009,0.028,0.952,-0.059,-0.142,0.01,-0.099,-0.143,0.876,0.001,0.044,-0.102,0.318,-0.073,-0.02,-0.022,0.129,0.713,0.323,-0.116,0.916,-0.092,0.092,-0.166,0.4,-0.009,-0.039,0.056,0.851,0.071,0.343,-0.16,0.122,0.111,0.321,0.347,0.323,-0.185,-0.008,-0.067,0.06,0.99,0.223
"Inqu",0.052,0.159,0.217,0.148,0.476,0.293,-0.298,0.814,-0.056,0.251,-0.026,0.181,-0.061,0.966,0.021,0.031,-0.178,0.21,0.107,0.228,-0.225,0.115,0.667,0.19,-0.024,0.936,-0.014,-0.025,-0.054,0.158,-0.291,0.008,-0.049,0.787,0.416,0.333,-0.102,-0.09,0.125,0.605,0.142,0.551,0.256,0.066,-0.359,0.048,0.792,0.165
"Crea",0.177,0.125,0.149,0.03,0.291,0.239,-0.2,0.539,0.066,0.229,0.058,0.451,0.403,0.579,-0.031,0.009,0.002,0.036,0.298,0.14,-0.258,0.092,0.563,0.237,-0.099,0.712,0.057,-0.088,0.362,0.071,-0.136,-0.16,0.244,0.446,0.571,0.077,0.023,0.09,-0.088,0.607,0.185,0.226,0.466,0.21,-0.354,0.081,0.448,0.072
"Unco",0.095,-0.066,0.199,0.294,0.066,0.372,0.105,0.447,0.243,0.214,-0.11,0.328,-0.167,0.308,0.055,0.395,0.24,0.176,-0.112,0.276,-0.163,0.429,0.636,0.016,0.063,0.699,-0.053,0.314,-0.026,-0.069,0.331,0.342,-0.121,0.281,0.246,0.364,0.018,0.18,0.237,0.431,0.036,0.212,0.172,-0.156,0.044,0.387,0.386,0.229
