"","H_emp","E_emp","X_emp","A_emp","C_emp","O_emp","H_item_distilroberta","E_item_distilroberta","X_item_distilroberta","A_item_distilroberta","C_item_distilroberta","O_item_distilroberta","H_item_miniLM","E_item_miniLM","X_item_miniLM","A_item_miniLM","C_item_miniLM","O_item_miniLM","H_item_mpnet","E_item_mpnet","X_item_mpnet","A_item_mpnet","C_item_mpnet","O_item_mpnet","H_item_t5","E_item_t5","X_item_t5","A_item_t5","C_item_t5","O_item_t5","H_item_psych","E_item_psych","X_item_psych","A_item_psych","C_item_psych","O_item_psych","H_item_use_dan","E_item_use_dan","X_item_use_dan","A_item_use_dan","C_item_use_dan","O_item_use_dan","H_item_avg_trans","E_item_avg_trans","X_item_avg_trans","A_item_avg_trans","C_item_avg_trans","O_item_avg_trans"
"Sinc",0.209,0,0,0,0,0,0.89,0,0,0,0,0,0.984,0,0,0,0,0,0.841,0,0,0,0,0,0.975,0,0,0,0,0,0.921,0,0,0,0,0,0.798,0,0,0,0,0,0.922,0,0,0,0,0
"Fair",0.353,0,0,0,0,0,0.704,0,0,0,0,0,0.992,0,0,0,0,0,0.66,0,0,0,0,0,0.95,0,0,0,0,0,0.782,0,0,0,0,0,0.702,0,0,0,0,0,0.83,0,0,0,0,0
"Gree",0.217,0,0,0,0,0,0.847,0,0,0,0,0,0.995,0,0,0,0,0,0.737,0,0,0,0,0,0.976,0,0,0,0,0,0.862,0,0,0,0,0,0.821,0,0,0,0,0,0.889,0,0,0,0,0
"Mode",0.481,0,0,0,0,0,0.852,0,0,0,0,0,0.991,0,0,0,0,0,0.82,0,0,0,0,0,0.973,0,0,0,0,0,0.879,0,0,0,0,0,0.823,0,0,0,0,0,0.904,0,0,0,0,0
"Fear",0,0.632,0,0,0,0,0,0.673,0,0,0,0,0,0.992,0,0,0,0,0,0.65,0,0,0,0,0,0.946,0,0,0,0,0,0.793,0,0,0,0,0,0.662,0,0,0,0,0,0.82,0,0,0,0
"Anxi",0,0.62,0,0,0,0,0,0.832,0,0,0,0,0,0.993,0,0,0,0,0,0.82,0,0,0,0,0,0.964,0,0,0,0,0,0.846,0,0,0,0,0,0.801,0,0,0,0,0,0.89,0,0,0,0
"Depe",0,0.39,0,0,0,0,0,0.767,0,0,0,0,0,0.994,0,0,0,0,0,0.798,0,0,0,0,0,0.965,0,0,0,0,0,0.875,0,0,0,0,0,0.773,0,0,0,0,0,0.887,0,0,0,0
"Sent",0,0.276,0,0,0,0,0,0.783,0,0,0,0,0,0.992,0,0,0,0,0,0.731,0,0,0,0,0,0.945,0,0,0,0,0,0.855,0,0,0,0,0,0.689,0,0,0,0,0,0.867,0,0,0,0
"Expr",0,0,0.508,0,0,0,0,0,0.87,0,0,0,0,0,0.994,0,0,0,0,0,0.848,0,0,0,0,0,0.977,0,0,0,0,0,0.939,0,0,0,0,0,0.863,0,0,0,0,0,0.927,0,0,0
"SocB",0,0,0.549,0,0,0,0,0,0.928,0,0,0,0,0,0.998,0,0,0,0,0,0.9,0,0,0,0,0,0.987,0,0,0,0,0,0.952,0,0,0,0,0,0.89,0,0,0,0,0,0.954,0,0,0
"Soci",0,0,0.407,0,0,0,0,0,0.816,0,0,0,0,0,0.993,0,0,0,0,0,0.793,0,0,0,0,0,0.97,0,0,0,0,0,0.904,0,0,0,0,0,0.798,0,0,0,0,0,0.898,0,0,0
"Live",0,0,0.364,0,0,0,0,0,0.722,0,0,0,0,0,0.991,0,0,0,0,0,0.722,0,0,0,0,0,0.949,0,0,0,0,0,0.728,0,0,0,0,0,0.734,0,0,0,0,0,0.827,0,0,0
"Forg",0,0,0,0.241,0,0,0,0,0,0.858,0,0,0,0,0,0.997,0,0,0,0,0,0.814,0,0,0,0,0,0.961,0,0,0,0,0,0.913,0,0,0,0,0,0.777,0,0,0,0,0,0.911,0,0
"Gent",0,0,0,0.466,0,0,0,0,0,0.881,0,0,0,0,0,0.997,0,0,0,0,0,0.895,0,0,0,0,0,0.987,0,0,0,0,0,0.928,0,0,0,0,0,0.897,0,0,0,0,0,0.938,0,0
"Flex",0,0,0,0.355,0,0,0,0,0,0.919,0,0,0,0,0,0.995,0,0,0,0,0,0.889,0,0,0,0,0,0.98,0,0,0,0,0,0.909,0,0,0,0,0,0.898,0,0,0,0,0,0.94,0,0
"Pati",0,0,0,0.576,0,0,0,0,0,0.84,0,0,0,0,0,0.987,0,0,0,0,0,0.798,0,0,0,0,0,0.966,0,0,0,0,0,0.886,0,0,0,0,0,0.813,0,0,0,0,0,0.898,0,0
"Orga",0,0,0,0,0.313,0,0,0,0,0,0.798,0,0,0,0,0,0.994,0,0,0,0,0,0.81,0,0,0,0,0,0.966,0,0,0,0,0,0.805,0,0,0,0,0,0.813,0,0,0,0,0,0.878,0
"Dili",0,0,0,0,0.463,0,0,0,0,0,0.815,0,0,0,0,0,0.99,0,0,0,0,0,0.746,0,0,0,0,0,0.962,0,0,0,0,0,0.843,0,0,0,0,0,0.745,0,0,0,0,0,0.877,0
"Perf",0,0,0,0,0.604,0,0,0,0,0,0.828,0,0,0,0,0,0.995,0,0,0,0,0,0.747,0,0,0,0,0,0.966,0,0,0,0,0,0.818,0,0,0,0,0,0.768,0,0,0,0,0,0.875,0
"Prud",0,0,0,0,0.451,0,0,0,0,0,0.791,0,0,0,0,0,0.994,0,0,0,0,0,0.856,0,0,0,0,0,0.966,0,0,0,0,0,0.898,0,0,0,0,0,0.838,0,0,0,0,0,0.904,0
"AesA",0,0,0,0,0,0.588,0,0,0,0,0,0.687,0,0,0,0,0,0.993,0,0,0,0,0,0.648,0,0,0,0,0,0.95,0,0,0,0,0,0.739,0,0,0,0,0,0.726,0,0,0,0,0,0.815
"Inqu",0,0,0,0,0,0.546,0,0,0,0,0,0.755,0,0,0,0,0,0.995,0,0,0,0,0,0.698,0,0,0,0,0,0.969,0,0,0,0,0,0.845,0,0,0,0,0,0.763,0,0,0,0,0,0.857
"Crea",0,0,0,0,0,0.458,0,0,0,0,0,0.783,0,0,0,0,0,0.994,0,0,0,0,0,0.698,0,0,0,0,0,0.964,0,0,0,0,0,0.833,0,0,0,0,0,0.768,0,0,0,0,0,0.859
"Unco",0,0,0,0,0,0.298,0,0,0,0,0,0.854,0,0,0,0,0,0.993,0,0,0,0,0,0.847,0,0,0,0,0,0.97,0,0,0,0,0,0.848,0,0,0,0,0,0.805,0,0,0,0,0,0.906
