Trait,Facet,EH,EE,EX,EA,EC,EO,AH,AE,AX,AA,AC,AO,RU,RU,RX,RA,RC,RO,OH,OE,OX,OA,OC,OO
ho,Sinc,0.7,-0.08,-0.05,-0.03,0.19,0.18,0.645,0.033,0.416,-0.038,0.027,-0.105,-0.582,-0.026,-0.199,-0.054,0.137,-0.225,0.547,-0.225,0.427,0.094,0.137,-0.005
ho,Fair,0.58,0.14,-0.05,0.12,0.29,0.02,0.593,0.153,-0.456,0.223,0.4,0,0.064,0.497,0.157,0.007,0.044,0.028,0.63,0.128,-0.343,0.074,0.407,0.035
ho,Gree,0.72,-0.08,-0.09,0.19,0.01,0.19,0.532,0.124,0.073,-0.169,0.149,0.234,0.436,0.124,0.174,-0.161,0.144,0.345,0.479,0.137,-0.112,0.02,0.087,0.363
ho,Mode,0.68,0.17,-0.03,0.12,0.06,-0.11,0.592,0.144,0.32,-0.054,-0.042,-0.008,-0.107,0.211,-0.234,0.095,-0.254,-0.104,0.514,-0.081,0.248,0.088,0.033,0.177
em,Fear,0.1,0.57,-0.18,-0.02,0.06,-0.28,0.383,0.668,-0.182,-0.207,-0.056,0.278,0.103,-0.17,0.273,0.166,0.258,0.434,0.269,0.539,0.03,-0.063,-0.052,0.285
em,Anxi,-0.11,0.67,-0.26,-0.25,0.07,-0.09,-0.18,1.008,0.036,-0.033,0.186,-0.076,0.524,-0.198,-0.061,-0.534,0,0.002,-0.306,0.765,0.035,0.349,0.162,0.065
em,Depe,-0.05,0.61,0.27,0,-0.03,-0.11,0.393,0.175,0.264,0.121,-0.017,0.02,0.817,0.042,-0.048,-0.051,-0.05,0.033,0.218,0.272,0.178,0.476,-0.223,0.062
em,Sent,0.21,0.7,0.18,0.08,0.05,0.09,-0.16,0.619,0.16,0.401,-0.294,0.156,0.84,-0.015,0.118,0.093,-0.136,-0.148,-0.151,0.542,0.137,0.456,-0.184,0.303
ex,Expr,-0.07,0.09,0.72,-0.17,-0.13,0.19,0.011,0.051,0.641,0.15,0.013,0.102,-0.307,-0.133,0.919,-0.04,0.038,-0.116,0.005,0.096,0.771,0.048,-0.077,0.154
ex,SocB,-0.13,0.2,0.68,0.05,-0.07,-0.09,0.231,0.222,0.638,-0.069,-0.146,0.123,0.015,-0.478,0.401,0.487,0.155,-0.003,0.182,0.132,0.642,0.066,-0.151,0.164
ex,Soci,-0.04,-0.24,0.66,-0.02,0.03,0.24,0.071,-0.075,0.597,0.217,-0.121,0.247,0.115,-0.019,0.429,0.136,-0.051,0.524,0.137,0.04,0.429,0.179,-0.002,0.245
ex,Live,0.01,-0.03,0.73,0.26,0.11,0.11,0.033,0.092,0.611,-0.111,0.315,-0.058,0.097,0.165,0.419,0.007,-0.096,0.416,-0.093,0.072,0.6,-0.07,0.207,0.15
ag,Forg,0.04,-0.11,0.23,0.57,-0.11,0.04,0.18,0.073,-0.198,0.982,-0.101,-0.012,0.135,0.039,0.155,0.405,-0.109,-0.096,0.345,0.169,-0.157,0.634,0.146,-0.131
ag,Gent,0.21,0.14,-0.07,0.62,0.07,-0.03,0.098,-0.069,0.017,0.845,0.1,-0.028,-0.262,-0.084,0.057,0.604,0.078,-0.056,0.17,0.247,0.094,0.681,0.088,-0.241
ag,Flex,0.08,0.08,-0.09,0.66,-0.05,-0.08,0.007,-0.046,0.134,0.687,0.144,0.049,0.007,-0.407,0.098,0.741,-0.041,-0.032,0.162,0.257,0.158,0.631,0.062,-0.214
ag,Pati,0.04,-0.27,0.07,0.68,0.01,0.05,-0.336,0.331,0.226,0.701,0.155,-0.16,-0.071,0.485,0.129,0.608,-0.022,-0.188,-0.356,0.532,0.161,0.646,0.184,-0.107
co,Orga,0.11,0.02,-0.05,-0.01,0.56,-0.01,-0.001,-0.093,0.076,0.087,0.833,0,0.305,0.143,0.016,-0.096,0.83,0.103,0.009,-0.141,-0.007,0.152,0.848,0.027
co,Dili,0.09,-0.04,0.21,-0.06,0.72,0.1,0.135,-0.13,0.271,0.029,0.835,-0.227,-0.036,-0.055,0.193,-0.189,0.732,-0.346,0.085,-0.121,0.076,0.195,0.782,-0.106
co,Perf,0.06,0.16,0,-0.1,0.59,0.11,0.04,-0.287,-0.082,0.177,0.806,0.252,0.455,0.418,-0.01,-0.535,0.659,0.092,0.105,-0.39,-0.025,0.048,0.938,0.146
co,Prud,0.18,-0.07,-0.28,0.12,0.54,-0.07,0.335,0.321,-0.225,-0.009,0.519,0.031,-0.084,0.189,-0.11,0.168,0.712,-0.361,0.42,0.241,-0.134,-0.002,0.482,-0.009
op,AesA,0.18,0.24,0.06,0.07,0.11,0.7,-0.219,0.09,0.051,0.16,-0.085,0.838,0.38,0.004,0.359,0.288,-0.053,0.243,0.06,0.223,-0.185,-0.067,-0.008,0.99
op,Inqu,-0.03,-0.18,-0.05,0.1,0.14,0.57,-0.167,-0.006,0.104,-0.186,0.039,1.086,-0.124,0.284,0.199,-0.103,-0.277,0.658,0.048,0.165,0.256,-0.359,0.066,0.792
op,Crea,0.07,-0.14,0.25,-0.11,0.03,0.65,0.087,-0.004,0.089,-0.197,0.267,0.656,-0.032,0.129,0.326,-0.134,-0.023,0.654,0.081,0.072,0.466,-0.354,0.21,0.448
op,Unco,0.07,-0.15,0.13,-0.09,-0.1,0.7,0.377,0.274,0.133,0.041,-0.182,0.328,-0.013,-0.49,0.045,-0.424,-0.077,0.214,0.387,0.229,0.172,0.044,-0.156,0.386